year,node,pagerank,in_strength,out_strength,throughput
2015,CHN,0.1303135677463962,190399222949.694,386070435244.0,576469658193.694
2016,CHN,0.128250409807946,184496483145.98203,368735048272.0,553231531417.982
2017,CHN,0.1382262646854162,228605823930.789,418724741666.0,647330565596.7891
2018,CHN,0.1405124346984705,262714754831.49197,467903954061.0,730618708892.492
2019,CHN,0.13521088095261422,234653015551.773,451889620202.0,686542635753.773
2020,CHN,0.1486445251964515,252037047257.095,485170893258.0,737207940515.095
2021,CHN,0.1474616105365413,294750703147.19,593158120184.0,887908823331.19
2022,CHN,0.13217794726921253,285422694413.45905,629193882685.0,914616577098.459
2015,DEU,0.050741370286493795,58809397202.230995,86509774847.12701,145319172049.358
2016,DEU,0.05244537779546764,61059618476.306,85088231160.92499,146147849637.231
2017,DEU,0.052657861104725395,67989015213.093,98293648229.85301,166282663442.946
2018,DEU,0.05251551926881627,73506478824.819,109926945512.693,183433424337.512
2019,DEU,0.05154335014252505,70888000158.171,108447931656.256,179335931814.427
2020,DEU,0.050444961472630945,70501244298.174,102885732238.30098,173386976536.47498
2021,DEU,0.0512437546588827,88775138335.31201,115228092066.331,204003230401.643
2022,DEU,0.05093118645141012,95013439662.974,116332107126.69,211345546789.664
2015,JPN,0.0662288267271021,95319886876.224,133851227772.0,229171114648.224
2016,JPN,0.06564288146834947,92534330063.463,139574525415.0,232108855478.463
2017,JPN,0.06578014001444767,100615200675.575,158221269041.661,258836469717.23602
2018,JPN,0.06462718304507785,107514940068.854,165341457165.198,272856397234.052
2019,JPN,0.0635228209275594,104606509852.319,152964638967.991,257571148820.31
2020,JPN,0.06267374783530229,102425608126.01901,145843590894.32196,248269199020.34097
2021,JPN,0.05760533471903147,111786175956.394,172735399931.666,284521575888.06
2022,JPN,0.05421701482636754,114945378513.61502,163362544507.97702,278307923021.59204
2015,MEX,0.136689876303461,115716572380.119,128803250764.0,244519823144.11902
2016,MEX,0.1392873916308314,115078534124.95801,127777293001.0,242855827125.958
2017,MEX,0.13176912402248048,119381796813.75899,135718003922.0,255099800735.75897
2018,MEX,0.13444027584130758,129003953720.72,144352707965.0,273356661685.72
2019,MEX,0.1361498886952688,127148068333.14401,148176094186.0,275324162519.14404
2020,MEX,0.1254203505954669,110823798878.358,138831496575.0,249655295453.358
2021,MEX,0.12746989797014013,132607424748.557,159745104313.0,292352529061.557
2022,MEX,0.13740859570509073,153324011789.259,187015976692.0,340339988481.25903
2015,USA,0.3358394495822651,466579084558.063,223812797115.0,690391881673.063
2016,USA,0.3351864537729565,459690962545.482,217627356439.0,677318318984.4819
2017,USA,0.32636659923562383,503926626648.0741,229965835101.0,733892461749.0741
2018,USA,0.3281981969719875,549221101111.018,239217204284.0,788438305395.0181
2019,USA,0.32970470786379413,530516744385.08795,229464148044.0,759980892429.0879
2020,USA,0.32656844238077576,537907560932.082,210589998031.0,748497558963.082
2021,USA,0.330010556928437,643014873382.3899,238985110835.0,881999984217.3899
2022,USA,0.3392173457822651,705052173234.162,257723562822.0,962775736056.162
2015,VNM,0.03437398207372994,45902249171.734,24543600464.0,70445849635.73401
2016,VNM,0.03802436681531786,50405846923.35,32705368098.38,83111215021.73
2017,VNM,0.042184032091127005,69102456002.66,45832830861.2,114935286863.86
2018,VNM,0.04060286349437667,75490364760.26599,54068790269.240005,129559155029.506
2019,VNM,0.044806530115668736,85949883268.07501,64950173179.32001,150900056447.39502
2020,VNM,0.049915257891440815,100444380585.518,84475224379.69101,184919604965.209
2021,VNM,0.04848919337067904,116949898463.24,103245379782.586,220195278245.826
2022,VNM,0.04613661675479864,123365744357.636,118000244759.962,241365989117.59802
