reporter,hs2,flow,year,yoy_real_pct
CAN,84,export,2020,-17.158088614273325
CAN,84,export,2021,10.513174173624606
CAN,84,import,2020,-11.261019372866599
CAN,84,import,2021,11.185952181578429
CAN,85,export,2020,-16.83422001355046
CAN,85,export,2021,11.039420112028164
CAN,85,import,2020,-10.034074018119165
CAN,85,import,2021,12.228511811416709
CHN,84,export,2019,-8.397551638421618
CHN,84,export,2021,20.082785471535992
CHN,84,import,2021,18.26204775552749
CHN,84,import,2022,-12.970271178342507
CHN,85,export,2016,-6.035430099571593
CHN,85,export,2021,21.74251774832161
CHN,85,import,2019,-8.747448137928027
CHN,85,import,2021,17.56480925171955
DEU,84,export,2017,14.498517660844712
DEU,84,export,2020,-9.178182879927132
DEU,84,import,2019,-5.560101927090355
DEU,84,import,2021,20.078438835757485
DEU,85,export,2017,12.589504315801703
DEU,85,export,2022,-3.3459787120531326
DEU,85,import,2019,-4.713353116890473
DEU,85,import,2021,18.357360177672465
JPN,84,export,2021,19.461507411271374
JPN,84,export,2022,-8.264576724005114
JPN,84,import,2018,8.785914850879895
JPN,84,import,2020,-2.987721954989586
JPN,85,export,2019,-7.732359319528259
JPN,85,export,2021,17.746394678603707
JPN,85,import,2020,-3.13374733150672
JPN,85,import,2021,15.296808437902133
KOR,84,export,2017,22.090659537410893
KOR,84,export,2022,-12.235088150909268
KOR,84,import,2017,27.389823803325044
KOR,84,import,2019,-13.642775506078031
KOR,85,export,2019,-13.145969070566387
KOR,85,export,2021,20.62687957108129
KOR,85,import,2016,-2.3458412738489587
KOR,85,import,2021,17.112884684502117
MEX,84,export,2020,-9.45272885726789
MEX,84,export,2022,11.68611982390333
MEX,84,import,2020,-16.75384600716143
MEX,84,import,2021,14.525095858389104
MEX,85,export,2020,-9.314254576489278
MEX,85,export,2021,10.189236097110467
MEX,85,import,2020,-16.58213845415546
MEX,85,import,2021,14.257195780461117
MYS,84,export,2019,-17.665091408812184
MYS,84,export,2021,24.024279418278805
MYS,84,import,2020,-12.975880712653353
MYS,84,import,2021,22.98476162674028
MYS,85,export,2016,-3.4001594700424853
MYS,85,export,2022,22.942524892931782
MYS,85,import,2016,-6.058374602558791
MYS,85,import,2021,21.064649194668373
THA,84,export,2019,-4.474894174450439
THA,84,export,2021,15.226502786097274
THA,84,import,2020,-8.263722278808594
THA,84,import,2021,16.080984634966367
THA,85,export,2019,-1.8740138067107948
THA,85,export,2022,16.86088359040494
THA,85,import,2019,-6.9716370206865275
THA,85,import,2021,24.039315433739496
USA,84,export,2020,-12.21991831480963
USA,84,export,2021,9.199724025149681
USA,84,import,2019,-8.075108337316427
USA,84,import,2021,12.936629011911126
USA,85,export,2020,-5.942167230296381
USA,85,export,2021,7.499533458536689
USA,85,import,2019,-7.087901811271902
USA,85,import,2021,15.225152449316749
VNM,84,export,2018,0.34051901358342906
VNM,84,export,2020,50.5109790357404
VNM,84,import,2020,-8.556603484194724
VNM,84,import,2021,10.055142797711447
VNM,85,export,2017,39.41275443326491
VNM,85,export,2022,9.948962306078823
VNM,85,import,2017,33.237788431160986
VNM,85,import,2022,0.3917609277524825
