year,reporter,partner,co2_tonnes
2015,CAN,CHN,228592.79667716424
2015,CAN,DEU,62780.28031643519
2015,CAN,JPN,52411.98524047544
2015,CAN,KOR,26863.2719462179
2015,CAN,MEX,41435.841683662526
2015,CAN,MYS,15124.711953974462
2015,CAN,THA,13297.182800067216
2015,CAN,USA,196599.2635374724
2015,CAN,VNM,11677.521461358072
2015,CHN,CAN,107268.580893957
2015,CHN,DEU,676683.4230967523
2015,CHN,JPN,216073.22887151077
2015,CHN,KOR,89272.34891094464
2015,CHN,MEX,248030.74370350002
2015,CHN,MYS,142802.23662012897
2015,CHN,THA,97712.02290733624
2015,CHN,USA,2529668.9480207833
2015,CHN,VNM,75490.24987526303
2015,DEU,CAN,49600.814762420065
2015,DEU,CHN,825985.5715692759
2015,DEU,JPN,172382.5069028284
2015,DEU,KOR,95802.77861227395
2015,DEU,MEX,83692.04963436919
2015,DEU,MYS,70425.92418881532
2015,DEU,THA,50817.65147682275
2015,DEU,USA,661184.1180505159
2015,DEU,VNM,40434.430237894005
2015,JPN,CAN,19417.645956172342
2015,JPN,CHN,211766.85713359417
2015,JPN,DEU,124688.2723454326
2015,JPN,KOR,25243.547368298914
2015,JPN,MEX,65984.90113372772
2015,JPN,MYS,45981.70277562069
2015,JPN,THA,101040.23445028468
2015,JPN,USA,684199.3605901412
2015,JPN,VNM,42944.16281389554
2015,KOR,CAN,14895.638754898446
2015,KOR,CHN,71865.60832739639
2015,KOR,DEU,92161.21619645735
2015,KOR,JPN,26336.183777353344
2015,KOR,MEX,68635.06829754468
2015,KOR,MYS,19378.138500683
2015,KOR,THA,14633.098539971126
2015,KOR,USA,447144.62398662185
2015,KOR,VNM,51937.3130641632
2015,MEX,CAN,22297.99120421059
2015,MEX,CHN,560164.4718136796
2015,MEX,DEU,96834.1101076623
2015,MEX,JPN,110119.92210775489
2015,MEX,KOR,92181.12151842024
2015,MEX,MYS,73723.467864155
2015,MEX,THA,63422.45138117003
2015,MEX,USA,409650.9616930119
2015,MEX,VNM,25297.711401158762
2015,MYS,CAN,5228.276049234078
2015,MYS,CHN,95496.24929776172
2015,MYS,DEU,54830.4457179287
2015,MYS,JPN,53236.84280469462
2015,MYS,KOR,19152.21243309609
2015,MYS,MEX,20371.36508756574
2015,MYS,THA,11368.95631277627
2015,MYS,USA,230952.65807959574
2015,MYS,VNM,3173.57142845581
2015,THA,CAN,5833.823075127843
2015,THA,CHN,80165.14897942892
2015,THA,DEU,46442.83597475918
2015,THA,JPN,102238.32731552301
2015,THA,KOR,12889.404374234675
2015,THA,MEX,34516.873760205846
2015,THA,MYS,11450.871573798766
2015,THA,USA,254114.32840844654
2015,THA,VNM,2810.5398956291624
2015,USA,CAN,233540.84496379812
2015,USA,CHN,3075622.2869618093
2015,USA,DEU,560604.2433437787
2015,USA,JPN,685628.6213262929
2015,USA,KOR,440819.59729292063
2015,USA,MEX,471736.7307186575
2015,USA,MYS,344446.380805062
2015,USA,THA,282372.94980673934
2015,USA,VNM,141600.09798375698
2015,VNM,CAN,8638.990366051636
2015,VNM,CHN,66266.40105666086
2015,VNM,DEU,34458.57406373939
2015,VNM,JPN,45864.09408590212
2015,VNM,KOR,49923.94476335861
2015,VNM,MEX,11946.018599510751
2015,VNM,MYS,2325.783070417721
2015,VNM,THA,2691.2833536433404
2015,VNM,USA,119793.35250948885
2016,CAN,CHN,217713.29726691212
2016,CAN,DEU,54828.47303314931
2016,CAN,JPN,54254.03716437988
2016,CAN,KOR,52563.15232703126
2016,CAN,MEX,42985.83644295945
2016,CAN,MYS,14356.721786532396
2016,CAN,THA,13129.974571965713
2016,CAN,USA,185096.36151519808
2016,CAN,VNM,14119.10371712767
2016,CHN,CAN,96728.0564568397
2016,CHN,DEU,617684.9737098948
2016,CHN,JPN,215062.00342308957
2016,CHN,KOR,81466.78085012297
2016,CHN,MEX,248470.45025550836
2016,CHN,MYS,135107.16681606794
2016,CHN,THA,97913.97518735958
2016,CHN,USA,2376779.669166569
2016,CHN,VNM,77848.77139764615
2016,DEU,CAN,43920.335253164725
2016,DEU,CHN,816804.286163521
2016,DEU,JPN,176630.7321480719
2016,DEU,KOR,89623.98079479455
2016,DEU,MEX,83881.66804174983
2016,DEU,MYS,74717.63314423355
2016,DEU,THA,56709.77503029023
2016,DEU,USA,665010.643624918
2016,DEU,VNM,45235.66750341983
2016,JPN,CAN,19077.876019354728
2016,JPN,CHN,216991.52513264725
2016,JPN,DEU,132025.11236166465
