year,reporter,co2_tonnes,value_usd,co2_per_musd
2015,CAN,648782.8556168275,126680941017.845,5.121392771509616
2015,CHN,4183001.782900176,687967476675.0,6.080231878281436
2015,DEU,2050325.8454352154,187774443653.875,10.919088910813578
2015,JPN,1321266.6845671677,251763779844.0,5.248041181244824
2015,KOR,806986.8894450894,214714502507.0,3.7584181786639235
2015,MEX,1453692.2090912233,260004984596.0,5.59101669281454
2015,MYS,493810.57721110876,84487440783.0,5.844780864879388
2015,THA,550462.153357154,83516425426.5,6.591064578567209
2015,USA,6236371.753202816,765445494246.0,8.147375352109083
2015,VNM,341908.44186877325,75783791178.0,4.511630212134717
2016,CAN,649046.9578252559,122606759709.543,5.293728986581626
2016,CHN,3947061.847263098,655827272536.0,6.018447253650059
2016,DEU,2052534.7217041636,191125079578.466,10.739222326191365
2016,JPN,1354123.954744416,257770315126.0,5.2532191462097195
2016,KOR,770573.8199737711,208938026986.0,3.6880496628093637
2016,MEX,1476055.7073421725,256824096326.0,5.747341189778934
2016,MYS,498859.02147218667,83341049133.0,5.985754039118003
2016,THA,542781.1253206522,83444637768.49,6.504685499702831
2016,USA,6025651.51565067,749782699066.0,8.0365304816406
2016,VNM,379738.7696773708,88613636789.79,4.285331055514517
2017,CAN,664247.4046186077,128622276857.791,5.164326280376931
2017,CHN,4519479.834625206,747890226992.0,6.042972178955281
2017,DEU,2347694.1570386714,218267918217.58398,10.756020290157043
2017,JPN,1476971.0799568386,285932332413.068,5.165456692120966
2017,KOR,952410.9311663966,253882842898.0,3.7513796532877066
2017,MEX,1538387.9648442594,268459582732.0,5.7304267152199735
2017,MYS,565153.5241207409,94341717182.80899,5.990494353898867
2017,THA,570553.3296314488,89694772576.69,6.3610544209097535
2017,USA,6637797.248800139,806943802605.0,8.225848228057275
2017,VNM,447555.7767436311,118364874066.7,3.7811536595850908
2018,CAN,716526.0327821932,137274526960.02199,5.219657635322719
2018,CHN,5109023.75681727,850569493547.0,6.006591813576441
2018,DEU,2632841.257539432,243604386613.403,10.807856517451457
2018,JPN,1579501.3576609958,300938848047.445,5.248579131305696
2018,KOR,996293.5559455894,275304974858.0,3.6188723304381596
2018,MEX,1695359.4543214424,288568115842.0,5.875075454454242
2018,MYS,594858.239920031,103032532072.815,5.773499184700554
2018,THA,601120.6255409666,95986446709.78,6.262557331229127
2018,USA,7016410.924858858,851089722415.0,8.244032021617558
2018,VNM,477440.0752748496,130452851327.94,3.659866920613585
2019,CAN,703994.8509915081,135446046373.242,5.197603546518767
2019,CHN,4746310.7678894745,812748169787.0,5.839829536784263
2019,DEU,2554395.534600448,237135787975.936,10.771868541662982
2019,JPN,1524772.7855487103,285348420539.464,5.343547311970604
2019,KOR,915054.4019261068,254730665349.0,3.5922428132962088
2019,MEX,1727365.9215523512,292273362573.0,5.910103836852096
2019,MYS,553600.4392478424,97654227268.308,5.668985918313687
2019,THA,606613.552190264,92769286036.677,6.53894815952809
2019,USA,6448570.6052518785,805271640447.0,8.0079445014012
2019,VNM,591059.6756672766,150402849206.86,3.929843608576519
2020,CAN,651466.4239097184,119207939275.08,5.4649583565606115
2020,CHN,5016815.311622285,870009291168.0,5.76639279896326
2020,DEU,2418697.5120207523,228074326819.333,10.60486528997497
2020,JPN,1343005.0075843763,274129272304.744,4.899166719019283
2020,KOR,960701.0238516745,264147020825.0,3.636993598682865
2020,MEX,1558615.8514985924,263005231793.0,5.926178125328363
2020,MYS,565773.0330053634,99654717466.929,5.677333169833315
2020,THA,617366.331996645,92211409812.234,6.695118676243652
2020,USA,6486232.775604404,769513790621.0,8.429001344303387
2020,VNM,764982.699589109,181604240760.641,4.212361431566874
2021,CAN,773309.1150322651,137236903236.679,5.6348481843736655
2021,CHN,6069568.320315421,1050854898592.0,5.775838632381885
2021,DEU,2839415.874849379,268964204072.027,10.556854153309562
2021,JPN,1557131.5027120947,315302569107.88696,4.9385309707999605
2021,KOR,1163962.9426340566,317142931474.0,3.670152562518899
2021,MEX,1875483.1505754828,309848275122.0,6.052908152666101
2021,MYS,700512.5190131873,121595317663.526,5.761015575876196
2021,THA,718163.8166867686,110513039862.676,6.498453192303479
2021,USA,7744517.2785870405,906679688341.0,8.541624322430334
2021,VNM,944437.9047079358,221473724853.691,4.264333863223938
2022,CAN,834467.6025339839,149553557832.92,5.579724177917881
2022,CHN,6052704.417685881,1061468633694.0,5.70219809192285
2022,DEU,2937473.8439974557,287903719892.365,10.202972872652193
2022,JPN,1567978.029327993,306649297006.795,5.113261450892054
2022,KOR,1189814.4754168307,331336142653.0,3.5909589152877097
2022,MEX,2202375.422045736,360655081110.0,6.106597514909295
2022,MYS,821321.83993924,144312673371.052,5.691266198274107
2022,THA,775533.5678284427,115848216796.423,6.694393658136899
2022,USA,8277428.116200314,999018785486.0,8.285558025992007
2022,VNM,1054661.076875021,241125645546.415,4.373906701151811
